query,month,unique_channels,new_views,hours_watched
General Mills,19-May,2,521,138
General Mills,19-Apr,2,5,8
General Mills,19-Mar,1,100,97
General Mills,19-Feb,1,"1,109",544
General Mills,19-Jan,0,0,0
General Mills,18-Dec,0,0,0
General Mills,18-Nov,0,0,0
General Mills,18-Oct,0,0,0
General Mills,18-Sep,0,0,0
General Mills,18-Aug,0,0,0
General Mills,18-Jul,0,0,0
General Mills,18-Jun,1,18,14
General Mills,18-May,0,0,0
General Mills,18-Apr,0,0,0
General Mills,18-Mar,0,0,0
General Mills,18-Feb,0,0,0
General Mills,18-Jan,0,0,0
General Mills,17-Dec,0,0,0
General Mills,17-Nov,0,0,0
General Mills,17-Oct,0,0,0
Yoplait,19-May,0,0,0
Yoplait,19-Apr,0,0,0
Yoplait,19-Mar,0,0,0
Yoplait,19-Feb,1,63,59
Yoplait,19-Jan,1,3,0
Yoplait,18-Dec,0,0,0
Yoplait,18-Nov,0,0,0
Yoplait,18-Oct,0,0,0
Yoplait,18-Sep,0,0,0
Yoplait,18-Aug,1,142,32
Yoplait,18-Jul,1,6,12
Yoplait,18-Jun,1,10,4
Yoplait,18-May,1,61,39
Yoplait,18-Apr,1,24,8
Yoplait,18-Mar,1,90,15
Yoplait,18-Feb,0,0,0
Yoplait,18-Jan,0,0,0
Yoplait,17-Dec,0,0,0
Yoplait,17-Nov,0,0,0
Yoplait,17-Oct,0,0,0
GoGurt,19-May,0,0,0
GoGurt,19-Apr,2,61,6
GoGurt,19-Mar,1,26,13
GoGurt,19-Feb,1,34,19
GoGurt,19-Jan,3,100,50
GoGurt,18-Dec,2,72,38
GoGurt,18-Nov,2,116,39
GoGurt,18-Oct,3,38,8
GoGurt,18-Sep,1,39,12
GoGurt,18-Aug,3,46,18
GoGurt,18-Jul,2,141,28
GoGurt,18-Jun,1,49,11
GoGurt,18-May,1,13,25
GoGurt,18-Apr,2,352,167
GoGurt,18-Mar,0,0,0
GoGurt,18-Feb,0,0,0
GoGurt,18-Jan,1,288,31
GoGurt,17-Dec,2,339,138
GoGurt,17-Nov,2,342,192
GoGurt,17-Oct,0,0,0
Trix,19-May,555,"1,079,964","494,562"
Trix,19-Apr,564,"746,245","312,487"
Trix,19-Mar,436,"387,526","138,738"
Trix,19-Feb,417,"551,795","206,296"
Trix,19-Jan,506,"938,043","433,947"
Trix,18-Dec,503,"658,350","302,226"
Trix,18-Nov,439,"1,410,477","530,449"
Trix,18-Oct,462,"879,641","424,129"
Trix,18-Sep,478,"860,017","311,081"
Trix,18-Aug,481,"1,509,732","451,412"
Trix,18-Jul,460,"879,209","267,392"
Trix,18-Jun,515,"917,914","293,346"
Trix,18-May,517,"1,231,505","383,167"
Trix,18-Apr,536,"1,914,190","418,301"
Trix,18-Mar,524,"713,626","239,183"
Trix,18-Feb,496,"628,312","223,043"
Trix,18-Jan,459,"651,335","281,446"
Trix,17-Dec,507,"932,245","340,629"
Trix,17-Nov,512,"1,023,644","373,563"
Trix,17-Oct,514,"728,162","195,325"
Betty Crocker,19-May,1,501,236
Betty Crocker,19-Apr,2,551,216
Betty Crocker,19-Mar,2,735,301
Betty Crocker,19-Feb,0,0,0
Betty Crocker,19-Jan,1,0,0
Betty Crocker,18-Dec,1,1,3
Betty Crocker,18-Nov,0,0,0
Betty Crocker,18-Oct,2,34,5
Betty Crocker,18-Sep,1,2,0
Betty Crocker,18-Aug,0,0,0
Betty Crocker,18-Jul,0,0,0
Betty Crocker,18-Jun,2,4,0
Betty Crocker,18-May,0,0,0
Betty Crocker,18-Apr,0,0,0
Betty Crocker,18-Mar,1,20,2
Betty Crocker,18-Feb,0,0,0
Betty Crocker,18-Jan,1,1,1
Betty Crocker,17-Dec,0,0,0
Betty Crocker,17-Nov,0,0,0
Betty Crocker,17-Oct,0,0,0
Fiber One,19-May,0,0,0
Fiber One,19-Apr,1,29,4
Fiber One,19-Mar,0,0,0
Fiber One,19-Feb,0,0,0
Fiber One,19-Jan,0,0,0
Fiber One,18-Dec,0,0,0
Fiber One,18-Nov,0,0,0
Fiber One,18-Oct,0,0,0
Fiber One,18-Sep,0,0,0
Fiber One,18-Aug,1,21,7
Fiber One,18-Jul,1,1,1
Fiber One,18-Jun,0,0,0
Fiber One,18-May,0,0,0
Fiber One,18-Apr,0,0,0
Fiber One,18-Mar,0,0,0
Fiber One,18-Feb,0,0,0
Fiber One,18-Jan,0,0,0
Fiber One,17-Dec,0,0,0
Fiber One,17-Nov,0,0,0
Fiber One,17-Oct,0,0,0
Nature Valley ,19-May,0,0,0
Nature Valley ,19-Apr,0,0,0
Nature Valley ,19-Mar,0,0,0
Nature Valley ,19-Feb,0,0,0
Nature Valley ,19-Jan,0,0,0
Nature Valley ,18-Dec,0,0,0
Nature Valley ,18-Nov,1,5,3
Nature Valley ,18-Oct,0,0,0
Nature Valley ,18-Sep,0,0,0
Nature Valley ,18-Aug,0,0,0
Nature Valley ,18-Jul,0,0,0
Nature Valley ,18-Jun,0,0,0
Nature Valley ,18-May,1,73,96
Nature Valley ,18-Apr,1,114,84
Nature Valley ,18-Mar,0,0,0
Nature Valley ,18-Feb,0,0,0
Nature Valley ,18-Jan,0,0,0
Nature Valley ,17-Dec,0,0,0
Nature Valley ,17-Nov,0,0,0
Nature Valley ,17-Oct,0,0,0
Chex,19-May,"5,136","16,735,988","6,127,746"
Chex,19-Apr,"5,074","16,146,187","6,156,815"
Chex,19-Mar,"3,427","10,898,232","4,522,770"
Chex,19-Feb,"3,239","10,151,596","3,536,731"
Chex,19-Jan,"3,799","7,942,482","2,698,138"
Chex,18-Dec,"3,486","6,460,891","2,239,162"
Chex,18-Nov,"3,330","9,813,383","3,785,618"
Chex,18-Oct,"3,103","9,410,497","3,956,586"
Chex,18-Sep,"2,969","8,304,546","3,241,116"
Chex,18-Aug,"2,642","8,275,097","3,194,664"
Chex,18-Jul,"2,593","7,395,475","3,010,229"
Chex,18-Jun,"2,495","7,575,199","2,735,167"
Chex,18-May,"2,519","5,234,083","1,482,257"
Chex,18-Apr,"2,421","4,518,795","1,311,226"
Chex,18-Mar,"2,408","8,827,427","3,028,450"
Chex,18-Feb,"2,126","7,056,575","3,079,299"
Chex,18-Jan,"1,896","5,799,644","2,803,033"
Chex,17-Dec,"2,010","5,725,826","2,455,694"
Chex,17-Nov,"1,883","6,435,257","2,614,037"
Chex,17-Oct,"1,898","5,520,725","2,479,890"
Kellogg,19-May,5,241,90
Kellogg,19-Apr,5,280,106
Kellogg,19-Mar,7,642,304
Kellogg,19-Feb,4,"1,105",269
Kellogg,19-Jan,7,"2,465","1,110"
Kellogg,18-Dec,8,"1,353",556
Kellogg,18-Nov,6,"1,685",574
Kellogg,18-Oct,6,"46,812","4,106"
Kellogg,18-Sep,7,830,364
Kellogg,18-Aug,8,"2,302",974
Kellogg,18-Jul,7,"1,423","1,132"
Kellogg,18-Jun,7,"1,917","1,407"
Kellogg,18-May,5,469,106
Kellogg,18-Apr,5,"1,983",524
Kellogg,18-Mar,4,"1,420",332
Kellogg,18-Feb,3,"1,131",141
Kellogg,18-Jan,1,1,2
Kellogg,17-Dec,3,159,38
Kellogg,17-Nov,2,66,38
Kellogg,17-Oct,4,28,12
Kashi,19-May,41,"60,622","30,299"
Kashi,19-Apr,43,"63,061","33,578"
Kashi,19-Mar,35,"54,944","32,225"
Kashi,19-Feb,29,"19,926","16,096"
Kashi,19-Jan,39,"15,470","10,807"
Kashi,18-Dec,41,"19,764","10,843"
Kashi,18-Nov,44,"492,597","122,217"
Kashi,18-Oct,27,"70,403","27,982"
Kashi,18-Sep,32,"42,967","20,856"
Kashi,18-Aug,34,"67,011","26,530"
Kashi,18-Jul,32,"62,981","26,957"
Kashi,18-Jun,36,"63,593","27,175"
Kashi,18-May,34,"13,748","5,315"
Kashi,18-Apr,29,"18,785","5,750"
Kashi,18-Mar,32,"60,724","27,558"
Kashi,18-Feb,36,"54,124","21,259"
Kashi,18-Jan,26,"26,695","8,801"
Kashi,17-Dec,20,"52,742","20,677"
Kashi,17-Nov,26,"52,252","21,288"
Kashi,17-Oct,22,"53,115","25,769"
Keebler,19-May,3,"4,746","2,601"
Keebler,19-Apr,3,"7,118","4,873"
Keebler,19-Mar,1,"7,309","3,625"
Keebler,19-Feb,3,"1,153",445
Keebler,19-Jan,3,"9,726","4,167"
Keebler,18-Dec,3,"5,814","2,964"
Keebler,18-Nov,3,"5,789","2,549"
Keebler,18-Oct,2,"7,823","3,203"
Keebler,18-Sep,3,"7,137","2,519"
Keebler,18-Aug,2,"2,870",927
Keebler,18-Jul,1,"8,607","2,577"
Keebler,18-Jun,3,"6,650","1,837"
Keebler,18-May,2,"7,315","2,500"
Keebler,18-Apr,2,"8,585","2,495"
Keebler,18-Mar,2,"8,985","1,901"
Keebler,18-Feb,2,"15,872","3,745"
Keebler,18-Jan,1,0,2
Keebler,17-Dec,1,978,245
Keebler,17-Nov,1,"11,046","3,921"
Keebler,17-Oct,2,357,326
Nutri-Grain,19-May,0,0,0
Nutri-Grain,19-Apr,0,0,0
Nutri-Grain,19-Mar,0,0,0
Nutri-Grain,19-Feb,0,0,0
Nutri-Grain,19-Jan,0,0,0
Nutri-Grain,18-Dec,0,0,0
Nutri-Grain,18-Nov,0,0,0
Nutri-Grain,18-Oct,0,0,0
Nutri-Grain,18-Sep,0,0,0
Nutri-Grain,18-Aug,0,0,0
Nutri-Grain,18-Jul,0,0,0
Nutri-Grain,18-Jun,0,0,0
Nutri-Grain,18-May,0,0,0
Nutri-Grain,18-Apr,0,0,0
Nutri-Grain,18-Mar,0,0,0
Nutri-Grain,18-Feb,0,0,0
Nutri-Grain,18-Jan,0,0,0
Nutri-Grain,17-Dec,0,0,0
Nutri-Grain,17-Nov,0,0,0
Nutri-Grain,17-Oct,0,0,0
Pringles,19-May,67,"111,052","45,068"
Pringles,19-Apr,86,"2,399,082","1,922,642"
Pringles,19-Mar,59,"236,516","71,078"
Pringles,19-Feb,52,"460,707","88,284"
Pringles,19-Jan,64,"41,731","20,934"
Pringles,18-Dec,51,"43,437","21,515"
Pringles,18-Nov,49,"89,508","34,730"
Pringles,18-Oct,44,"106,639","36,684"
Pringles,18-Sep,42,"99,515","41,715"
Pringles,18-Aug,50,"114,190","36,978"
Pringles,18-Jul,53,"115,874","37,214"
Pringles,18-Jun,43,"58,899","29,879"
Pringles,18-May,45,"621,201","187,255"
Pringles,18-Apr,45,"39,378","13,766"
Pringles,18-Mar,48,"28,410","7,570"
Pringles,18-Feb,44,"53,730","12,521"
Pringles,18-Jan,39,"41,351","14,008"
Pringles,17-Dec,34,"10,883","2,982"
Pringles,17-Nov,34,"17,134","6,298"
Pringles,17-Oct,37,"37,726","10,815"
PopTarts,19-May,44,"38,144","18,485"
PopTarts,19-Apr,43,"39,016","20,536"
PopTarts,19-Mar,35,"51,151","29,780"
PopTarts,19-Feb,32,"32,609","13,789"
PopTarts,19-Jan,42,"21,144","10,381"
PopTarts,18-Dec,35,"47,439","28,656"
PopTarts,18-Nov,33,"45,079","23,779"
PopTarts,18-Oct,28,"18,838","10,713"
PopTarts,18-Sep,33,"50,944","31,022"
PopTarts,18-Aug,27,"33,638","19,243"
PopTarts,18-Jul,31,"54,929","30,740"
PopTarts,18-Jun,25,"48,568","28,233"
PopTarts,18-May,28,"46,620","25,772"
PopTarts,18-Apr,32,"51,317","29,943"
PopTarts,18-Mar,24,"36,469","17,021"
PopTarts,18-Feb,20,"35,817","14,032"
PopTarts,18-Jan,14,"24,961","8,329"
PopTarts,17-Dec,26,"18,630","10,010"
PopTarts,17-Nov,25,"26,804","19,087"
PopTarts,17-Oct,31,"27,788","17,285"
Special K,19-May,302,"1,920,489","693,240"
Special K,19-Apr,304,"2,747,009","723,783"
Special K,19-Mar,228,"1,513,079","578,793"
Special K,19-Feb,196,"575,868","190,500"
Special K,19-Jan,264,"1,171,801","559,548"
Special K,18-Dec,240,"1,342,354","686,295"
Special K,18-Nov,229,"1,043,558","468,297"
Special K,18-Oct,238,"1,852,524","608,524"
Special K,18-Sep,237,"1,530,908","678,398"
Special K,18-Aug,213,"1,957,654","791,448"
Special K,18-Jul,232,"1,628,397","718,644"
Special K,18-Jun,230,"1,629,004","706,815"
Special K,18-May,215,"1,275,788","732,539"
Special K,18-Apr,203,"1,176,030","643,307"
Special K,18-Mar,228,"1,643,355","629,498"
Special K,18-Feb,220,"1,403,988","505,810"
Special K,18-Jan,188,"2,164,161","864,317"
Special K,17-Dec,220,"1,597,158","950,755"
Special K,17-Nov,235,"1,394,737","675,948"
Special K,17-Oct,234,"1,096,818","438,927"
Cheez-It,19-May,7,"2,530","1,237"
Cheez-It,19-Apr,6,"3,268","1,728"
Cheez-It,19-Mar,6,"3,047","1,554"
Cheez-It,19-Feb,7,"3,335","2,077"
Cheez-It,19-Jan,5,"3,625","2,298"
Cheez-It,18-Dec,4,"3,350","2,193"
Cheez-It,18-Nov,9,"3,191","1,895"
Cheez-It,18-Oct,7,"1,014",596
Cheez-It,18-Sep,6,"3,198","2,230"
Cheez-It,18-Aug,6,"2,404","1,542"
Cheez-It,18-Jul,9,"2,810","1,802"
Cheez-It,18-Jun,7,"3,225","2,443"
Cheez-It,18-May,3,"2,325","1,768"
Cheez-It,18-Apr,4,"2,511","1,944"
Cheez-It,18-Mar,5,"3,246","1,982"
Cheez-It,18-Feb,5,"4,880","2,665"
Cheez-It,18-Jan,3,"1,058",310
Cheez-It,17-Dec,4,"3,399","2,549"
Cheez-It,17-Nov,2,"1,285",499
Cheez-It,17-Oct,2,"1,284",366
Mondelez,19-May,0,0,0
Mondelez,19-Apr,0,0,0
Mondelez,19-Mar,0,0,0
Mondelez,19-Feb,0,0,0
Mondelez,19-Jan,0,0,0
Mondelez,18-Dec,0,0,0
Mondelez,18-Nov,0,0,0
Mondelez,18-Oct,0,0,0
Mondelez,18-Sep,0,0,0
Mondelez,18-Aug,0,0,0
Mondelez,18-Jul,0,0,0
Mondelez,18-Jun,0,0,0
Mondelez,18-May,0,0,0
Mondelez,18-Apr,0,0,0
Mondelez,18-Mar,0,0,0
Mondelez,18-Feb,0,0,0
Mondelez,18-Jan,0,0,0
Mondelez,17-Dec,0,0,0
Mondelez,17-Nov,0,0,0
Mondelez,17-Oct,0,0,0
Belvita,19-May,0,0,0
Belvita,19-Apr,1,0,0
Belvita,19-Mar,0,0,0
Belvita,19-Feb,0,0,0
Belvita,19-Jan,1,23,1
Belvita,18-Dec,1,18,0
Belvita,18-Nov,1,55,5
Belvita,18-Oct,0,0,0
Belvita,18-Sep,0,0,0
Belvita,18-Aug,1,61,7
Belvita,18-Jul,1,25,4
Belvita,18-Jun,1,45,1
Belvita,18-May,1,28,4
Belvita,18-Apr,1,131,14
Belvita,18-Mar,1,682,86
Belvita,18-Feb,1,236,26
Belvita,18-Jan,1,147,24
Belvita,17-Dec,0,0,0
Belvita,17-Nov,1,90,7
Belvita,17-Oct,1,259,26
Ritz,19-May,178,"240,418","96,451"
Ritz,19-Apr,186,"209,828","96,699"
Ritz,19-Mar,122,"67,349","33,519"
Ritz,19-Feb,123,"126,424","55,842"
Ritz,19-Jan,154,"167,709","86,037"
Ritz,18-Dec,146,"154,490","75,290"
Ritz,18-Nov,133,"140,984","60,073"
Ritz,18-Oct,123,"115,836","40,582"
Ritz,18-Sep,103,"111,866","48,165"
Ritz,18-Aug,111,"112,489","50,238"
Ritz,18-Jul,102,"104,221","34,229"
Ritz,18-Jun,107,"96,147","44,004"
Ritz,18-May,129,"203,810","120,319"
Ritz,18-Apr,141,"172,466","39,745"
Ritz,18-Mar,143,"160,503","60,189"
Ritz,18-Feb,119,"159,696","74,738"
Ritz,18-Jan,84,"128,732","92,341"
Ritz,17-Dec,111,"193,312","116,802"
Ritz,17-Nov,101,"138,264","94,331"
Ritz,17-Oct,103,"91,073","38,001"
Chips Ahoy,19-May,1,5,2
Chips Ahoy,19-Apr,1,0,0
Chips Ahoy,19-Mar,0,0,0
Chips Ahoy,19-Feb,1,5,5
Chips Ahoy,19-Jan,2,10,10
Chips Ahoy,18-Dec,0,0,0
Chips Ahoy,18-Nov,1,1,0
Chips Ahoy,18-Oct,2,3,0
Chips Ahoy,18-Sep,0,0,0
Chips Ahoy,18-Aug,1,17,34
Chips Ahoy,18-Jul,1,6,0
Chips Ahoy,18-Jun,0,0,0
Chips Ahoy,18-May,0,0,0
Chips Ahoy,18-Apr,0,0,0
Chips Ahoy,18-Mar,0,0,0
Chips Ahoy,18-Feb,0,0,0
Chips Ahoy,18-Jan,1,0,0
Chips Ahoy,17-Dec,0,0,0
Chips Ahoy,17-Nov,0,0,0
Chips Ahoy,17-Oct,0,0,0
Triscuit,19-May,1,443,459
Triscuit,19-Apr,1,178,56
Triscuit,19-Mar,0,0,0
Triscuit,19-Feb,0,0,0
Triscuit,19-Jan,0,0,0
Triscuit,18-Dec,0,0,0
Triscuit,18-Nov,0,0,0
Triscuit,18-Oct,1,10,11
Triscuit,18-Sep,0,0,0
Triscuit,18-Aug,2,31,31
Triscuit,18-Jul,0,0,0
Triscuit,18-Jun,1,0,1
Triscuit,18-May,1,5,4
Triscuit,18-Apr,1,28,9
Triscuit,18-Mar,1,1,0
Triscuit,18-Feb,1,16,1
Triscuit,18-Jan,0,0,0
Triscuit,17-Dec,0,0,0
Triscuit,17-Nov,0,0,0
Triscuit,17-Oct,0,0,0
Honey Maid,19-May,0,0,0
Honey Maid,19-Apr,0,0,0
Honey Maid,19-Mar,0,0,0
Honey Maid,19-Feb,0,0,0
Honey Maid,19-Jan,0,0,0
Honey Maid,18-Dec,0,0,0
Honey Maid,18-Nov,0,0,0
Honey Maid,18-Oct,0,0,0
Honey Maid,18-Sep,0,0,0
Honey Maid,18-Aug,0,0,0
Honey Maid,18-Jul,0,0,0
Honey Maid,18-Jun,0,0,0
Honey Maid,18-May,0,0,0
Honey Maid,18-Apr,0,0,0
Honey Maid,18-Mar,0,0,0
Honey Maid,18-Feb,0,0,0
Honey Maid,18-Jan,0,0,0
Honey Maid,17-Dec,0,0,0
Honey Maid,17-Nov,0,0,0
Honey Maid,17-Oct,0,0,0
Wheat Thins,19-May,2,74,21
Wheat Thins,19-Apr,1,77,19
Wheat Thins,19-Mar,1,44,16
Wheat Thins,19-Feb,0,0,0
Wheat Thins,19-Jan,1,61,15
Wheat Thins,18-Dec,1,0,0
Wheat Thins,18-Nov,2,96,28
Wheat Thins,18-Oct,1,69,19
Wheat Thins,18-Sep,2,121,34
Wheat Thins,18-Aug,1,0,1
Wheat Thins,18-Jul,0,0,0
Wheat Thins,18-Jun,0,0,0
Wheat Thins,18-May,3,840,313
Wheat Thins,18-Apr,1,189,41
Wheat Thins,18-Mar,1,68,19
Wheat Thins,18-Feb,1,31,3
Wheat Thins,18-Jan,1,294,17
Wheat Thins,17-Dec,0,0,0
Wheat Thins,17-Nov,0,0,0
Wheat Thins,17-Oct,1,61,3
Teddy Grahams,19-May,1,30,3
Teddy Grahams,19-Apr,1,88,28
Teddy Grahams,19-Mar,1,0,1
Teddy Grahams,19-Feb,1,0,0
Teddy Grahams,19-Jan,1,0,1
Teddy Grahams,18-Dec,0,0,0
Teddy Grahams,18-Nov,1,0,1
Teddy Grahams,18-Oct,0,0,0
Teddy Grahams,18-Sep,0,0,0
Teddy Grahams,18-Aug,1,2,12
Teddy Grahams,18-Jul,0,0,0
Teddy Grahams,18-Jun,0,0,0
Teddy Grahams,18-May,1,3,2
Teddy Grahams,18-Apr,0,0,0
Teddy Grahams,18-Mar,0,0,0
Teddy Grahams,18-Feb,0,0,0
Teddy Grahams,18-Jan,0,0,0
Teddy Grahams,17-Dec,1,8,7
Teddy Grahams,17-Nov,2,2,4
Teddy Grahams,17-Oct,0,0,0
Fig Newtons,19-May,0,0,0
Fig Newtons,19-Apr,0,0,0
Fig Newtons,19-Mar,1,70,9
Fig Newtons,19-Feb,0,0,0
Fig Newtons,19-Jan,0,0,0
Fig Newtons,18-Dec,0,0,0
Fig Newtons,18-Nov,0,0,0
Fig Newtons,18-Oct,0,0,0
Fig Newtons,18-Sep,0,0,0
Fig Newtons,18-Aug,0,0,0
Fig Newtons,18-Jul,1,13,3
Fig Newtons,18-Jun,0,0,0
Fig Newtons,18-May,2,103,22
Fig Newtons,18-Apr,1,446,89
Fig Newtons,18-Mar,1,645,567
Fig Newtons,18-Feb,1,0,1
Fig Newtons,18-Jan,0,0,0
Fig Newtons,17-Dec,0,0,0
Fig Newtons,17-Nov,0,0,0
Fig Newtons,17-Oct,1,30,3
Oreo,19-May,544,"6,721,606","2,953,643"
Oreo,19-Apr,528,"6,764,551","3,595,062"
Oreo,19-Mar,359,"11,588,421","8,819,077"
Oreo,19-Feb,387,"2,124,234","240,650"
Oreo,19-Jan,455,"1,604,906","762,527"
Oreo,18-Dec,425,"2,707,858","1,653,077"
Oreo,18-Nov,402,"8,662,093","5,531,048"
Oreo,18-Oct,364,"4,915,283","2,074,508"
Oreo,18-Sep,354,"2,097,877","327,237"
Oreo,18-Aug,356,"4,051,944","1,802,153"
Oreo,18-Jul,325,"1,468,504","243,782"
Oreo,18-Jun,320,"1,740,213","335,813"
Oreo,18-May,313,"2,215,894","1,369,111"
Oreo,18-Apr,321,"4,831,427","3,378,198"
Oreo,18-Mar,294,"1,658,711","231,466"
Oreo,18-Feb,267,"1,311,127","189,223"
Oreo,18-Jan,244,"14,716,573","7,691,041"
Oreo,17-Dec,240,"1,262,501","241,171"
Oreo,17-Nov,268,"1,636,016","516,477"
Oreo,17-Oct,240,"1,304,005","163,536"
Oreos,19-May,183,"4,107,662","2,748,787"
Oreos,19-Apr,168,"4,347,515","3,465,061"
Oreos,19-Mar,117,"9,859,099","8,753,276"
Oreos,19-Feb,130,"101,202","35,254"
Oreos,19-Jan,161,"1,252,250","768,592"
Oreos,18-Dec,148,"2,345,235","1,670,632"
Oreos,18-Nov,121,"6,378,884","5,254,102"
Oreos,18-Oct,110,"3,135,713","1,907,131"
Oreos,18-Sep,110,"917,598","266,876"
Oreos,18-Aug,102,"2,610,994","1,586,373"
Oreos,18-Jul,112,"595,813","345,430"
Oreos,18-Jun,102,"445,117","318,614"
Oreos,18-May,109,"2,209,176","1,582,373"
Oreos,18-Apr,106,"4,764,463","3,469,320"
Oreos,18-Mar,97,"452,857","344,622"
Oreos,18-Feb,88,"127,649","76,119"
Oreos,18-Jan,85,"13,193,548","7,461,928"
Oreos,17-Dec,70,"127,967","49,146"
Oreos,17-Nov,90,"422,349","335,934"
Oreos,17-Oct,88,"118,311","54,886"
Quaker ,19-May,16,"9,791","6,331"
Quaker ,19-Apr,14,"13,498","11,119"
Quaker ,19-Mar,13,"5,776","2,967"
Quaker ,19-Feb,17,"4,584","2,130"
Quaker ,19-Jan,17,"7,456","2,529"
Quaker ,18-Dec,16,"9,017","4,356"
Quaker ,18-Nov,13,"5,090","3,444"
Quaker ,18-Oct,10,"5,325","3,054"
Quaker ,18-Sep,9,"4,775","3,669"
Quaker ,18-Aug,10,"18,784","9,128"
Quaker ,18-Jul,9,"20,620","13,683"
Quaker ,18-Jun,11,"37,168","18,040"
Quaker ,18-May,14,"30,257","21,487"
Quaker ,18-Apr,13,"28,906","21,733"
Quaker ,18-Mar,10,"17,604","12,811"
Quaker ,18-Feb,9,"21,569","13,423"
Quaker ,18-Jan,10,"2,369",921
Quaker ,17-Dec,12,"14,677","9,938"
Quaker ,17-Nov,7,"7,483","5,453"
Quaker ,17-Oct,9,"17,256","15,506"
Cheetos,19-May,118,"106,186","38,651"
Cheetos,19-Apr,118,"198,086","73,266"
Cheetos,19-Mar,75,"144,157","54,380"
Cheetos,19-Feb,74,"20,650","10,900"
Cheetos,19-Jan,83,"43,025","21,789"
Cheetos,18-Dec,71,"42,136","21,960"
Cheetos,18-Nov,75,"57,693","26,317"
Cheetos,18-Oct,67,"42,486","20,183"
Cheetos,18-Sep,74,"19,671","9,514"
Cheetos,18-Aug,73,"36,144","12,717"
Cheetos,18-Jul,70,"70,268","32,470"
Cheetos,18-Jun,71,"50,451","23,733"
Cheetos,18-May,60,"51,174","21,613"
Cheetos,18-Apr,64,"38,364","14,871"
Cheetos,18-Mar,62,"25,420","10,794"
Cheetos,18-Feb,48,"12,706","7,281"
Cheetos,18-Jan,42,"9,732","6,858"
Cheetos,17-Dec,55,"11,682","5,858"
Cheetos,17-Nov,54,"27,977","13,959"
Cheetos,17-Oct,57,"22,233","10,695"
Doritos,19-May,152,"193,600","104,901"
Doritos,19-Apr,165,"198,642","100,369"
Doritos,19-Mar,113,"201,124","94,529"
Doritos,19-Feb,122,"197,384","71,545"
Doritos,19-Jan,149,"78,944","41,542"
Doritos,18-Dec,140,"107,841","44,845"
Doritos,18-Nov,137,"142,669","73,204"
Doritos,18-Oct,132,"170,658","84,146"
Doritos,18-Sep,138,"132,650","76,610"
Doritos,18-Aug,119,"121,003","68,282"
Doritos,18-Jul,142,"169,150","73,726"
Doritos,18-Jun,132,"164,754","79,499"
Doritos,18-May,123,"120,305","51,633"
Doritos,18-Apr,118,"87,259","38,142"
Doritos,18-Mar,121,"100,804","52,311"
Doritos,18-Feb,114,"73,552","33,316"
Doritos,18-Jan,113,"97,189","41,834"
Doritos,17-Dec,138,"1,439,964","1,160,423"
Doritos,17-Nov,117,"1,635,981","1,233,688"
Doritos,17-Oct,132,"1,230,425","1,099,179"
Fritos,19-May,34,"47,547","15,416"
Fritos,19-Apr,40,"102,565","35,760"
Fritos,19-Mar,27,"55,560","20,669"
Fritos,19-Feb,23,"19,508","5,733"
Fritos,19-Jan,30,"22,383","8,020"
Fritos,18-Dec,29,"21,392","9,954"
Fritos,18-Nov,26,"14,766","8,886"
Fritos,18-Oct,23,"54,939","21,291"
Fritos,18-Sep,24,"36,227","15,698"
Fritos,18-Aug,20,"9,853","6,268"
Fritos,18-Jul,18,"12,323","7,724"
Fritos,18-Jun,18,"11,943","8,377"
Fritos,18-May,20,"8,795","6,039"
Fritos,18-Apr,18,"6,243","3,919"
Fritos,18-Mar,19,"13,204","6,372"
Fritos,18-Feb,16,"7,177","3,693"
Fritos,18-Jan,17,"6,517","3,373"
Fritos,17-Dec,17,"8,568","3,673"
Fritos,17-Nov,16,"13,210","6,026"
Fritos,17-Oct,13,"6,605","4,041"
Frito Lay,19-May,1,16,9
Frito Lay,19-Apr,2,52,14
Frito Lay,19-Mar,1,49,7
Frito Lay,19-Feb,1,7,5
Frito Lay,19-Jan,2,85,33
Frito Lay,18-Dec,2,145,77
Frito Lay,18-Nov,2,91,15
Frito Lay,18-Oct,1,72,37
Frito Lay,18-Sep,0,0,0
Frito Lay,18-Aug,0,0,0
Frito Lay,18-Jul,0,0,0
Frito Lay,18-Jun,0,0,0
Frito Lay,18-May,0,0,0
Frito Lay,18-Apr,0,0,0
Frito Lay,18-Mar,1,28,1
Frito Lay,18-Feb,1,197,8
Frito Lay,18-Jan,0,0,0
Frito Lay,17-Dec,0,0,0
Frito Lay,17-Nov,0,0,0
Frito Lay,17-Oct,0,0,0
Lay's ,19-May,2,366,217
Lay's ,19-Apr,3,582,85
Lay's ,19-Mar,3,558,134
Lay's ,19-Feb,2,957,118
Lay's ,19-Jan,3,582,116
Lay's ,18-Dec,2,39,16
Lay's ,18-Nov,2,177,23
Lay's ,18-Oct,1,70,45
Lay's ,18-Sep,3,"2,101",511
Lay's ,18-Aug,1,256,28
Lay's ,18-Jul,2,233,85
Lay's ,18-Jun,3,382,90
Lay's ,18-May,3,352,147
Lay's ,18-Apr,2,"2,750",422
Lay's ,18-Mar,2,47,21
Lay's ,18-Feb,2,571,91
Lay's ,18-Jan,2,"1,410","1,350"
Lay's ,17-Dec,1,55,17
Lay's ,17-Nov,1,"2,681",922
Lay's ,17-Oct,2,100,27
Stacy's Pita Chips,19-May,0,0,0
